 time,energy conservation violation
   0.0000000000000000      ,   0.0000000000000000     
   5.0000000000000001E-004 ,   2.2204460492503131E-016
   1.0000000000000000E-003 ,   0.0000000000000000     
   1.5000000000000000E-003 ,   4.4408920985006262E-016
   2.0000000000000000E-003 ,   0.0000000000000000     
   2.5000000000000001E-003 ,   2.2204460492503131E-016
   3.0000000000000001E-003 ,   2.2204460492503131E-016
   3.5000000000000001E-003 ,   0.0000000000000000     
   4.0000000000000001E-003 ,   2.2204460492503131E-016
   4.5000000000000005E-003 ,   2.2204460492503131E-016
   5.0000000000000010E-003 ,   2.2204460492503131E-016
   5.5000000000000014E-003 ,   2.2204460492503131E-016
   6.0000000000000019E-003 ,   2.2204460492503131E-016
   6.5000000000000023E-003 ,   0.0000000000000000     
   7.0000000000000027E-003 ,   2.2204460492503131E-016
   7.5000000000000032E-003 ,   2.2204460492503131E-016
   8.0000000000000036E-003 ,   2.2204460492503131E-016
   8.5000000000000041E-003 ,   4.4408920985006262E-016
   9.0000000000000045E-003 ,   2.2204460492503131E-016
   9.5000000000000050E-003 ,   4.4408920985006262E-016
   1.0000000000000005E-002 ,   6.6613381477509392E-016
   1.0500000000000006E-002 ,   4.4408920985006262E-016
   1.1000000000000006E-002 ,   4.4408920985006262E-016
   1.1500000000000007E-002 ,   2.2204460492503131E-016
   1.2000000000000007E-002 ,   4.4408920985006262E-016
   1.2500000000000008E-002 ,   4.4408920985006262E-016
   1.3000000000000008E-002 ,   4.4408920985006262E-016
   1.3500000000000009E-002 ,   2.2204460492503131E-016
   1.4000000000000009E-002 ,   6.6613381477509392E-016
   1.4500000000000009E-002 ,   4.4408920985006262E-016
   1.5000000000000010E-002 ,   4.4408920985006262E-016
   1.5500000000000010E-002 ,   8.8817841970012523E-016
   1.6000000000000011E-002 ,   1.1102230246251565E-015
   1.6500000000000011E-002 ,   8.8817841970012523E-016
   1.7000000000000012E-002 ,   6.6613381477509392E-016
   1.7500000000000012E-002 ,   8.8817841970012523E-016
   1.8000000000000013E-002 ,   6.6613381477509392E-016
   1.8500000000000013E-002 ,   6.6613381477509392E-016
   1.9000000000000013E-002 ,   6.6613381477509392E-016
   1.9500000000000014E-002 ,   8.8817841970012523E-016
   2.0000000000000014E-002 ,   6.6613381477509392E-016
   2.0500000000000015E-002 ,   8.8817841970012523E-016
   2.1000000000000015E-002 ,   8.8817841970012523E-016
   2.1500000000000016E-002 ,   6.6613381477509392E-016
   2.2000000000000016E-002 ,   4.4408920985006262E-016
   2.2500000000000017E-002 ,   4.4408920985006262E-016
   2.3000000000000017E-002 ,   8.8817841970012523E-016
   2.3500000000000017E-002 ,   6.6613381477509392E-016
